epoch,iter,lr,total_loss
0,0,0.0001,5.3146
0,10,0.0001,5.614
0,20,0.0001,5.1779
0,30,0.0001,4.8495
0,40,0.0001,4.6077
0,50,0.0001,4.7581
0,60,0.0001,4.6372
0,70,0.0001,4.4922
0,80,0.0001,4.494
0,90,0.0001,4.2946
0,100,0.0001,4.6254
0,110,0.0001,4.503
0,120,0.0001,4.2648
0,130,0.0001,4.2267
0,140,0.0001,4.2701
0,150,0.0001,4.6105
0,160,0.0001,4.044
0,170,0.0001,4.1127
0,180,0.0001,4.3035
0,190,0.0001,4.0703
0,200,0.0001,4.1325
0,210,0.0001,4.3478
0,220,0.0001,4.171
0,230,0.0001,4.1474
0,240,0.0001,4.3396
0,250,0.0001,4.1796
0,260,0.0001,4.3165
0,270,0.0001,4.5453
0,280,0.0001,4.1601
0,290,0.0001,4.2059
0,300,0.0001,4.0598
0,310,0.0001,4.0274
0,320,0.0001,3.9249
0,330,0.0001,3.929
0,340,0.0001,3.8942
0,350,0.0001,3.8638
0,360,0.0001,4.3631
0,370,0.0001,3.7105
0,380,0.0001,3.9193
0,390,0.0001,3.8789
1,400,0.0001,3.8682
1,410,0.0001,4.1563
1,420,0.0001,4.0181
1,430,0.0001,3.7731
1,440,0.0001,3.6619
1,450,0.0001,3.8018
1,460,0.0001,3.6139
1,470,0.0001,3.7356
1,480,0.0001,3.7099
1,490,0.0001,3.7956
1,500,0.0001,3.4584
1,510,0.0001,3.8433
1,520,0.0001,3.671
1,530,0.0001,3.6825
1,540,0.0001,3.6063
1,550,0.0001,3.5925
1,560,0.0001,3.7979
1,570,0.0001,4.0469
1,580,0.0001,3.7124
1,590,0.0001,3.8529
1,600,0.0001,3.8423
1,610,0.0001,3.9737
1,620,0.0001,3.6255
1,630,0.0001,3.7969
1,640,0.0001,3.9377
1,650,0.0001,3.8099
1,660,0.0001,3.5788
1,670,0.0001,3.6556
1,680,0.0001,3.6531
1,690,0.0001,3.5995
1,700,0.0001,3.5133
1,710,0.0001,3.519
1,720,0.0001,3.5941
1,730,0.0001,3.8971
1,740,0.0001,3.7633
1,750,0.0001,3.629
1,760,0.0001,3.9961
1,770,0.0001,4.8287
1,780,0.0001,4.2063
1,790,0.0001,4.2232
2,800,0.0001,4.2521
2,810,0.0001,4.4553
2,820,0.0001,4.0893
2,830,0.0001,3.7523
2,840,0.0001,3.935
2,850,0.0001,3.5605
2,860,0.0001,3.5157
2,870,0.0001,3.5941
2,880,0.0001,3.6721
2,890,0.0001,3.5893
2,900,0.0001,3.6842
2,910,0.0001,3.6799
2,920,0.0001,3.5714
2,930,0.0001,3.7864
2,940,0.0001,3.9125
2,950,0.0001,3.5853
2,960,0.0001,3.4159
2,970,0.0001,3.4708
2,980,0.0001,3.3316
2,990,0.0001,3.478
2,1000,0.0001,3.4382
2,1010,0.0001,3.3988
2,1020,0.0001,3.4705
2,1030,0.0001,3.4182
2,1040,0.0001,3.498
2,1050,0.0001,3.4736
2,1060,0.0001,3.5063
2,1070,0.0001,3.4832
2,1080,0.0001,3.2932
2,1090,0.0001,3.5934
2,1100,0.0001,3.5459
2,1110,0.0001,3.446
2,1120,0.0001,3.6909
2,1130,0.0001,3.4824
2,1140,0.0001,3.4261
2,1150,0.0001,3.5373
2,1160,0.0001,3.3065
2,1170,0.0001,3.5157
2,1180,0.0001,3.6522
2,1190,0.0001,3.6034
3,1200,0.0001,3.3196
3,1210,0.0001,3.5361
3,1220,0.0001,3.5465
3,1230,0.0001,3.3821
3,1240,0.0001,3.3402
3,1250,0.0001,3.6304
3,1260,0.0001,3.5327
3,1270,0.0001,3.4929
3,1280,0.0001,3.4995
3,1290,0.0001,3.529
3,1300,0.0001,3.3379
3,1310,0.0001,3.4352
3,1320,0.0001,3.4152
3,1330,0.0001,3.4744
3,1340,0.0001,3.2771
3,1350,0.0001,3.9965
3,1360,0.0001,3.6694
3,1370,0.0001,3.4452
3,1380,0.0001,3.583
3,1390,0.0001,3.484
3,1400,0.0001,3.6289
3,1410,0.0001,3.3072
3,1420,0.0001,3.3339
3,1430,0.0001,3.3694
3,1440,0.0001,3.266
3,1450,0.0001,3.1185
3,1460,0.0001,3.3723
3,1470,0.0001,3.3199
3,1480,0.0001,3.3934
